date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#loc+market+code,#geo+lat,#geo+lon,#item+type,#item+name,#item+code,#item+unit,#item+price+flag,#item+price+type,#currency+code,#value,#value+usd
2000-01-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,cereals and tubers,Maize (white),67,KG,actual,Wholesale,MXN,2.05,0.22
2000-01-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,cereals and tubers,"Rice (long grain, Sinaloa)",591,KG,actual,Wholesale,MXN,4.5,0.48
2000-01-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,cereals and tubers,"Rice (small grain, Morelos)",596,KG,actual,Wholesale,MXN,8.9,0.95
2000-01-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,pulses and nuts,"Beans (black, Veracruz)",565,KG,actual,Wholesale,MXN,6.25,0.66
2000-01-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,pulses and nuts,"Beans (black, imported)",567,KG,actual,Wholesale,MXN,3,0.32
2000-01-15,Jalisco,Guadalajara,Guadalajara,2628,20.68,-103.35,cereals and tubers,Maize (white),67,KG,actual,Wholesale,MXN,1.62,0.17
2000-01-15,Puebla,San Andres Cholula,Puebla,2626,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",596,KG,actual,Wholesale,MXN,9,0.96
2000-01-15,Puebla,San Andres Cholula,Puebla,2626,19.01,-98.2,pulses and nuts,"Beans (black, imported)",567,KG,actual,Wholesale,MXN,23,2.44
2000-01-15,Sinaloa,Culiacan,Culiacán,2629,24.8,-107.39,cereals and tubers,Maize (white),67,KG,actual,Wholesale,MXN,2,0.21
2000-02-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,cereals and tubers,Maize (white),67,KG,actual,Wholesale,MXN,2,0.21
2000-02-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,cereals and tubers,"Rice (long grain, Sinaloa)",591,KG,actual,Wholesale,MXN,4.4,0.47
2000-02-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,cereals and tubers,"Rice (small grain, Morelos)",596,KG,actual,Wholesale,MXN,8.95,0.96
2000-02-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,pulses and nuts,"Beans (black, Veracruz)",565,KG,actual,Wholesale,MXN,5.95,0.64
2000-02-15,Jalisco,Guadalajara,Guadalajara,2628,20.68,-103.35,cereals and tubers,Maize (white),67,KG,actual,Wholesale,MXN,1.63,0.17
2000-02-15,Puebla,San Andres Cholula,Puebla,2626,19.01,-98.2,cereals and tubers,Maize (white),67,KG,actual,Wholesale,MXN,2.1,0.22
2000-02-15,Puebla,San Andres Cholula,Puebla,2626,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",596,KG,actual,Wholesale,MXN,9,0.96
2000-02-15,Sinaloa,Culiacan,Culiacán,2629,24.8,-107.39,cereals and tubers,Maize (white),67,KG,actual,Wholesale,MXN,2.38,0.25
2000-03-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,cereals and tubers,Maize (white),67,KG,actual,Wholesale,MXN,2,0.21
2000-03-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,cereals and tubers,"Rice (small grain, Morelos)",596,KG,actual,Wholesale,MXN,8.88,0.95
2000-03-15,Distrito Federal,Cuauhtemoc,Mexico City,2627,19.41,-99.13,pulses and nuts,"Beans (black, Veracruz)",565,KG,actual,Wholesale,MXN,5.62,0.6
2000-03-15,Jalisco,Guadalajara,Guadalajara,2628,20.68,-103.35,cereals and tubers,Maize (white),67,KG,actual,Wholesale,MXN,1.64,0.18
2000-03-15,Puebla,San Andres Cholula,Puebla,2626,19.01,-98.2,cereals and tubers,Maize (white),67,KG,actual,Wholesale,MXN,2.1,0.23
2000-03-15,Puebla,San Andres Cholula,Puebla,2626,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",596,KG,actual,Wholesale,MXN,9,0.97
2000-03-15,Puebla,San Andres Cholula,Puebla,2626,19.01,-98.2,pulses and nuts,"Beans (black, Veracruz)",565,KG,actual,Wholesale,MXN,7,0.75
